source_file,window_index,aircraft_id,aircraft_name,start_time_s,end_time_s,duration_s,sample_count,altitude_start_m,altitude_end_m,altitude_delta_m,ground_speed_start_mps,ground_speed_end_mps,ground_speed_delta_mps,ground_speed_mean_mps,total_speed_mean_mps,vertical_speed_mean_mps,sink_rate_peak_mps,climb_rate_peak_mps,track_change_deg,track_rate_mean_abs_deg_s,track_rate_peak_abs_deg_s,roll_mean_abs_deg,roll_peak_abs_deg,pitch_mean_abs_deg,pitch_peak_abs_deg,acceleration_mean_mps2,acceleration_peak_abs_mps2,label,label_version
C:\Users\öseoijfowfn\Saved Games\DCS\Tracks\DCS-NotTacView\20260923T202309Z_575000.export.zip,1,1,FA-18C_hornet,0.0,4.997,4.997,44,3655.217,3634.89,-20.327000000000226,179.8364931198446,217.68948581733449,37.852992697489896,208.9692315135357,209.0317442241124,-3.961750132998348,15.503649635038377,0.0,1.301060379635885,0.45049004833328765,2.4617320173294805,31.650594863636364,174.884767,1.9896595227272726,4.876131,6.755878937618269,178.5398386061812,acceleration,heuristic_ms2_v1
C:\Users\öseoijfowfn\Saved Games\DCS\Tracks\DCS-NotTacView\20260923T202309Z_575000.export.zip,2,1,FA-18C_hornet,1.075,5.99,4.915,43,3651.58,3614.464,-37.115999999999985,204.91668433652654,222.54841323509365,17.631728898567104,212.48166445406923,212.72067629403978,-7.3173192074930204,22.660377358491004,0.0,-1.627306312821247,1.0135527676780693,3.4316992597312272,45.49965406976744,174.884767,2.617451953488372,4.876131,3.7533604945060053,6.249298275818667,acceleration,heuristic_ms2_v1
C:\Users\öseoijfowfn\Saved Games\DCS\Tracks\DCS-NotTacView\20260923T202309Z_575000.export.zip,3,1,FA-18C_hornet,2.016,6.989,4.973,44,3647.207,3590.29,-56.916999999999916,207.05917069683176,228.13924429491706,21.080073598085306,216.40734315666586,216.89626068834542,-11.232530675530175,25.267326732674604,0.0,-3.924972586079889,1.4620196118641813,3.4316992597312272,54.50959065909091,174.884767,2.9559408636363638,4.876131,4.499661220660041,6.7954688242014765,descent,heuristic_ms2_v1
C:\Users\öseoijfowfn\Saved Games\DCS\Tracks\DCS-NotTacView\20260923T202309Z_575000.export.zip,4,1,FA-18C_hornet,3.079,7.964,4.885,43,3644.339,3565.377,-78.96199999999999,210.41327655700698,234.004993472807,23.59171691580002,220.82493423002578,221.58241214544242,-15.63392438572011,25.66101694915457,0.0,-5.3787163913638665,1.7787998520430897,3.4316992597312272,61.67894069767442,174.884767,3.2784786511627906,4.876131,5.088416049377497,6.861895517286508,descent,heuristic_ms2_v1
C:\Users\öseoijfowfn\Saved Games\DCS\Tracks\DCS-NotTacView\20260923T202309Z_575000.export.zip,5,1,FA-18C_hornet,4.085,8.964,4.8790000000000004,43,3643.0,3539.594,-103.40599999999995,214.1274227145703,240.2971672159555,26.169744501385225,226.14641191749132,227.19504881247994,-20.751681304244254,25.900000000001622,0.0,-7.527443737545468,1.9100638205061171,3.4316992597312272,62.64462665116279,174.884767,3.6639259534883717,4.876131,5.650017779363637,6.861895517286508,descent,heuristic_ms2_v1
C:\Users\öseoijfowfn\Saved Games\DCS\Tracks\DCS-NotTacView\20260923T202309Z_575000.export.zip,6,1,FA-18C_hornet,5.164,9.898,4.734,41,3631.953,3517.916,-114.03699999999981,218.32785816775234,246.27163741634914,27.943779248596798,231.41808780301852,232.66128926151617,-23.939496276948255,25.900000000001622,0.0,-9.1011699375141,1.9598194354658014,3.4316992597312272,40.73333268292683,95.926346,3.605037853658537,4.624683,5.960002473693106,8.725330230239816,descent,heuristic_ms2_v1
C:\Users\öseoijfowfn\Saved Games\DCS\Tracks\DCS-NotTacView\20260923T202309Z_575000.export.zip,7,1,FA-18C_hornet,6.104,10.974,4.87,42,3611.847,3502.472,-109.375,223.14002811444087,252.63673048012464,29.496702365683774,237.4685366285725,238.58793600275754,-22.48525935839064,25.900000000001622,0.0,-8.145119610016366,1.719322441805538,2.708532988486908,30.602730238095237,56.03174,2.953097,4.26786,5.927628898988146,8.725330230239816,descent,heuristic_ms2_v1
C:\Users\öseoijfowfn\Saved Games\DCS\Tracks\DCS-NotTacView\20260923T202309Z_575000.export.zip,8,1,FA-18C_hornet,7.09,11.929,4.839,41,3587.727,3499.117,-88.60999999999967,228.7387595825046,257.64254847205467,28.90378888955007,243.57704358221702,244.44704766564433,-18.400840426939173,25.900000000001622,1.2616822429926813,-7.09151988665991,1.4907555214473593,2.6494657125789853,22.890776975609754,35.364247,2.6795333170731706,4.26786,5.778277335941608,8.725330230239816,descent,heuristic_ms2_v1
C:\Users\öseoijfowfn\Saved Games\DCS\Tracks\DCS-NotTacView\20260923T202309Z_575000.export.zip,9,1,FA-18C_hornet,8.065,12.979,4.914,42,3562.784,3507.466,-55.31800000000021,234.68297187400282,262.10617938449667,27.423207510493853,249.48300377675537,250.0954228031927,-11.39836553196708,25.900000000001622,13.403846153844123,-5.040852693692216,1.2966320404062484,2.6494657125789853,17.934782523809524,28.008359,2.850186642857143,5.730249,5.477008053836512,8.725330230239816,descent,heuristic_ms2_v1
C:\Users\öseoijfowfn\Saved Games\DCS\Tracks\DCS-NotTacView\20260923T202309Z_575000.export.zip,10,1,FA-18C_hornet,9.091,13.94,4.849,42,3536.352,3525.486,-10.865999999999985,241.03150840838202,265.7927655865956,24.761257178213555,255.19013504046077,255.64759239233717,-1.8627893338620054,25.527559055119823,21.168316831682567,-3.231508280180776,1.151406204974943,2.6494657125789853,14.020642999999998,25.757248,3.269811976190476,6.585577,5.0647259831231235,8.725330230239816,acceleration,heuristic_ms2_v1
C:\Users\öseoijfowfn\Saved Games\DCS\Tracks\DCS-NotTacView\20260923T202309Z_575000.export.zip,11,1,FA-18C_hornet,10.007,14.936,4.929,43,3515.83,3544.44,28.610000000000127,246.96940115445267,270.7940856628657,23.824684508413043,259.5247528772489,259.9201048377232,5.459928688685971,19.137614678901286,21.168316831682567,-1.4115098142618194,0.8690185261773083,2.4824239674479895,11.330911232558138,22.59869,3.6396433488372093,6.585577,4.862704647993479,7.685554771814057,acceleration,heuristic_ms2_v1
C:\Users\öseoijfowfn\Saved Games\DCS\Tracks\DCS-NotTacView\20260923T202309Z_575000.export.zip,12,1,FA-18C_hornet,11.079,15.947,4.8679999999999986,42,3501.613,3558.409,56.79600000000028,253.29013867634885,275.927385156918,22.637246480569132,264.28884819436564,264.66808709231134,11.289230496079588,8.18095238095595,21.168316831682567,0.5058547109437654,0.5411889728036045,1.7052854761544487,8.908059285714286,17.296839,4.200414285714286,6.585577,4.739689067895522,6.083200785435712,climb,heuristic_ms2_v1
C:\Users\öseoijfowfn\Saved Games\DCS\Tracks\DCS-NotTacView\20260923T202309Z_575000.export.zip,13,1,FA-18C_hornet,12.04,16.951,4.911000000000001,43,3499.4,3566.86,67.46000000000004,258.15676536793967,281.17237710629325,23.015611738353584,268.9804064427845,269.3700867343334,13.436242372701948,0.0,21.168316831682567,1.6222353991743717,0.3326459724237772,0.9787846901066306,8.192055860465116,8.889104,4.095375255813954,6.585577,4.741820076651737,6.044676209580593,climb,heuristic_ms2_v1
C:\Users\öseoijfowfn\Saved Games\DCS\Tracks\DCS-NotTacView\20260923T202309Z_575000.export.zip,14,1,FA-18C_hornet,13.081,17.877,4.795999999999999,42,3508.954,3569.813,60.858999999999924,262.48998276423936,285.82897667321515,23.338993908975795,273.68571810130715,274.05782054215393,12.66583943375816,0.0,21.168316831682567,1.0218105149497205,0.2332462871836441,0.7793971301308066,8.28180338095238,8.889104,3.4003439285714285,6.585577,4.807210397347667,6.044676209580593,climb,heuristic_ms2_v1
